"Order ID","Order Ref","Order Date","Ship Date","Comm Plan","Total","Customer ID","Customer Name","Sales Rep","Item","Product ID","Description","Price","Qty","Item Total"
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,3,100870,ACE TENNIS BALLS-3 PACK,2.8,500,1400
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,4,100871,ACE TENNIS BALLS-6 PACK,5.6,500,2800
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,5,100890,ACE TENNIS NET,58,500,29000
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,6,101860,SP TENNIS RACKET,24,100,2400
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,7,101863,SP JUNIOR RACKET,12.5,200,2500
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,8,102130,RH: "GUIDE TO TENNIS",3.4,100,340
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,9,200376,SB ENERGY BAR-6 PACK,2.4,200,480
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,10,200380,SB VITA SNACK-6 PACK,4,300,1200
618,,15-FEB-87,06-MAR-87,A,3510.5,102,VOLLYRITE,MARTIN,1,100860,ACE TENNIS RACKET I,35,23,805
618,,15-FEB-87,06-MAR-87,A,3510.5,102,VOLLYRITE,MARTIN,2,100861,ACE TENNIS RACKET II,45.11,50,2255.5
618,,15-FEB-87,06-MAR-87,A,3510.5,102,VOLLYRITE,MARTIN,3,100870,ACE TENNIS BALLS-3 PACK,45,10,450
619,,22-FEB-87,04-FEB-87,,1260,104,EVERY MOUNTAIN,ALLEN,1,200380,SB VITA SNACK-6 PACK,4,100,400
619,,22-FEB-87,04-FEB-87,,1260,104,EVERY MOUNTAIN,ALLEN,2,200376,SB ENERGY BAR-6 PACK,2.4,100,240
619,,22-FEB-87,04-FEB-87,,1260,104,EVERY MOUNTAIN,ALLEN,3,102130,RH: "GUIDE TO TENNIS",3.4,100,340
619,,22-FEB-87,04-FEB-87,,1260,104,EVERY MOUNTAIN,ALLEN,4,100871,ACE TENNIS BALLS-6 PACK,5.6,50,280
620,,12-MAR-87,12-MAR-87,,4450,100,JOCKSPORTS,TURNER,1,100860,ACE TENNIS RACKET I,35,10,350
620,,12-MAR-87,12-MAR-87,,4450,100,JOCKSPORTS,TURNER,2,200376,SB ENERGY BAR-6 PACK,2.4,1000,2400
620,,12-MAR-87,12-MAR-87,,4450,100,JOCKSPORTS,TURNER,3,102130,RH: "GUIDE TO TENNIS",3.4,500,1700
621,,15-MAR-87,01-JAN-87,A,730,100,JOCKSPORTS,TURNER,1,100861,ACE TENNIS RACKET II,45,10,450
621,,15-MAR-87,01-JAN-87,A,730,100,JOCKSPORTS,TURNER,2,100870,ACE TENNIS BALLS-3 PACK,2.8,100,280
681,IAB9001,27-JUN-22,29-JUN-22,A,380.4,104,EVERY MOUNTAIN,ALLEN,1,100870,ACE TENNIS BALLS-3 PACK,2.8,5,14
681,IAB9001,27-JUN-22,29-JUN-22,A,380.4,104,EVERY MOUNTAIN,ALLEN,2,100861,ACE TENNIS RACKET II,45,7,315
681,IAB9001,27-JUN-22,29-JUN-22,A,380.4,104,EVERY MOUNTAIN,ALLEN,3,102130,RH: "GUIDE TO TENNIS",3.4,1,3.4
681,IAB9001,27-JUN-22,29-JUN-22,A,380.4,104,EVERY MOUNTAIN,ALLEN,4,200380,SB VITA SNACK-6 PACK,4,12,48
682,LVP8802,27-JUN-22,02-JUL-22,C,5230.1,102,VOLLYRITE,MARTIN,1,101863,SP JUNIOR RACKET,12.5,9,112.5
682,LVP8802,27-JUN-22,02-JUL-22,C,5230.1,102,VOLLYRITE,MARTIN,2,100890,ACE TENNIS NET,58,88,5104
682,LVP8802,27-JUN-22,02-JUL-22,C,5230.1,102,VOLLYRITE,MARTIN,3,102130,RH: "GUIDE TO TENNIS",3.4,4,13.6
683,TEST001,27-JUN-22,02-JUL-22,C,1664.4,103,JUST TENNIS,WARD,1,101863,SP JUNIOR RACKET,12.5,12,150
683,TEST001,27-JUN-22,02-JUL-22,C,1664.4,103,JUST TENNIS,WARD,2,100890,ACE TENNIS NET,58,24,1392
683,TEST001,27-JUN-22,02-JUL-22,C,1664.4,103,JUST TENNIS,WARD,3,102130,RH: "GUIDE TO TENNIS",3.4,36,122.4
684,TEST002,29-JUN-22,02-JUL-22,C,1542,101,TKB SPORT SHOP,WARD,1,101863,SP JUNIOR RACKET,12.5,12,150
684,TEST002,29-JUN-22,02-JUL-22,C,1542,101,TKB SPORT SHOP,WARD,2,100890,ACE TENNIS NET,58,24,1392
685,TEST003,03-JUL-22,05-JUL-22,D,1542,101,TKB SPORT SHOP,WARD,1,101863,SP JUNIOR RACKET,12.5,12,150
685,TEST003,03-JUL-22,05-JUL-22,D,1542,101,TKB SPORT SHOP,WARD,2,100890,ACE TENNIS NET,58,24,1392
